Card Name,List,Description,Labels,Story Points,Acceptance Criteria,Sprint,Priority
HU01 Consultar puestos autorizados,Sprint 1 Backlog,Como Ciudadano quiero consultar puestos autorizados de ceviche de pota para identificar opciones seguras antes de comprar,Ciudadano|Alta,5,Lista puestos autorizados; muestra ubicacion y estado; oculta puestos no autorizados,Sprint 1,Alta
HU02 Filtrar puestos por ubicacion y estado,Sprint 1 Backlog,Como Ciudadano quiero filtrar puestos por ubicacion y estado sanitario para reducir el tiempo de busqueda de puestos seguros,Ciudadano|Media,3,Filtra por ubicacion; filtra por estado; muestra resultados vacios claramente,Sprint 1,Media
HU03 Ver detalle sanitario del puesto,Sprint 1 Backlog,Como Ciudadano quiero ver el detalle sanitario de un puesto autorizado para confirmar su licencia y ultima condicion registrada,Ciudadano|Media,3,Abre detalle desde listado; muestra licencia y estado; maneja informacion incompleta,Sprint 1,Media
HU04 Reportar riesgo sanitario,Product Backlog,Como Ciudadano quiero reportar un riesgo sanitario observado en un puesto para alertar a la municipalidad sobre una posible amenaza,Ciudadano|Alta,5,Registra descripcion del riesgo; exige puesto o referencia; guarda estado pendiente,Sprint 2,Alta
HU05 Adjuntar evidencia visual,Product Backlog,Como Ciudadano quiero adjuntar evidencia visual a un reporte sanitario para mejorar la verificabilidad del caso reportado,Ciudadano|Media,3,Permite adjuntar imagen; valida tipo de archivo; vincula evidencia al reporte,Sprint 2,Media
HU06 Registrar datos de vendedor,Sprint 1 Backlog,Como Vendedor quiero registrar mis datos de identificacion y contacto para iniciar mi proceso de formalizacion sanitaria,Vendedor|Alta,5,Guarda datos obligatorios; valida documento y contacto; vincula vendedor con perfil,Sprint 1,Alta
HU07 Registrar puesto ambulante,Sprint 1 Backlog,Como Vendedor quiero registrar la ubicacion y caracteristicas de mi puesto para que pueda ser evaluado por la municipalidad,Vendedor|Alta,5,Registra ubicacion y caracteristicas; vincula puesto con vendedor; asigna estado inicial,Sprint 1,Alta
HU08 Actualizar licencia municipal,Sprint 1 Backlog,Como Vendedor quiero cargar y actualizar mi licencia municipal para demostrar que mi puesto cuenta con autorizacion vigente,Vendedor|Alta,5,Registra licencia y vencimiento; permite actualizacion; deja licencia visible para consulta,Sprint 1,Alta
HU09 Consultar estado sanitario propio,Product Backlog,Como Vendedor quiero consultar el estado sanitario de mi puesto para conocer si estoy autorizado observado o suspendido,Vendedor|Media,3,Muestra estado propio; muestra observaciones; restringe consulta al vendedor propietario,Sprint 3,Media
HU10 Recibir avisos internos,Product Backlog,Como Vendedor quiero recibir avisos internos sobre observaciones sanitarias para corregirlas antes de una nueva inspeccion,Vendedor|Media,3,Muestra avisos internos; marca avisos como leidos; relaciona aviso con puesto observado,Sprint 3,Media
HU11 Consultar puestos pendientes,Product Backlog,Como Inspector sanitario municipal quiero consultar puestos pendientes de inspeccion para organizar mi jornada de supervision,Inspector|Alta,5,Lista puestos pendientes; permite filtrar por zona; muestra prioridad operativa,Sprint 2,Alta
